"id","limma_log2FC","p_value","adj_p_value","n_imputed","AveExpr","t","B"
"P19137",0.364404376529679,0.606733359343949,0.99997988173566,0,36.9851806182202,0.558744574523312,-4.82990463978233
"P16546",0.494467507252674,0.432407801124973,0.99997988173566,0,32.8840184219171,0.874045351295772,-4.71915953204049
"P02469",-0.0289438469442446,0.969523991812418,0.99997988173566,0,36.4426457192351,-0.0407011820492259,-4.91725200626475
"P02468",-0.0427667109020246,0.95334757147971,0.99997988173566,0,36.3605908108272,-0.06233407861423,-4.91658753611674
"Q9JHU4",1.32227184079359,0.264629459564551,0.99997988173566,0,29.4076508217588,1.30062588110039,-4.53718880983836
"Q62261",1.06331447675054,0.145503082522705,0.99997988173566,0,31.3420061297444,1.81335963193348,-4.31637577436902
"Q05793",-0.135942159665937,0.863404797868837,0.99997988173566,0,33.694613366343,-0.183646161982604,-4.90774699795179
"Q64727",-0.131166552204805,0.839822597162429,0.99997988173566,0,34.9061534469982,-0.215925874883073,-4.90395728337712
"Q80X90",1.32804861997648,0.238605516857936,0.99997988173566,0,31.3099310730892,1.38893901540221,-4.4981594994867
"P19096",0.444562693312181,0.501627752745234,0.99997988173566,0,32.3412564693,0.739206967264141,-4.77030586089849
"P01027",0.347339197190022,0.794308004440992,0.99997988173566,0,35.4904892329098,0.279064708392335,-4.89485212914435
"P11087",0.468075248782723,0.728160324786215,0.99997988173566,0,35.6120143732712,0.373427300286213,-4.87722931833068
"Q8BTM8",0.018861708917373,0.985387623736564,0.99997988173566,0,32.4133117334576,0.0195098481578572,-4.91763263833341
"P02463",0.924086414663232,0.209240658609999,0.99997988173566,0,33.5426436209135,1.50094417308841,-4.44893554489737
"Q9QXS1",-0.0451073800299052,0.95504671949263,0.99997988173566,0,30.3539508388612,-0.0600602896057232,-4.91667046804274
"P10493",-0.195746463239753,0.784938500665261,0.99997988173566,0,36.6942676631602,-0.292223952293802,-4.89267818086628
"P08121",0.547352302060686,0.700244372714838,0.99997988173566,0,34.4913636086783,0.414434670548916,-4.86814518139159
"Q61316",0.218125332551229,0.772584648022809,0.99997988173566,0,33.2512767720224,0.309670658009739,-4.88965195513843
"P57780",0.0551108018244715,0.946659180368201,0.99997988173566,0,35.0122234269384,0.071288509536881,-4.91623108211928
"Q01853",0.418298367703938,0.48460900670703,0.99997988173566,0,35.8478404567969,0.770940564135332,-4.75870794199684
"Q01149",0.798196909757084,0.547494746139831,0.99997988173566,0,34.4776831118032,0.65748845243598,-4.79872529518983
"Q3U1J4",0.18308991466007,0.802218603904981,0.99997988173566,0,33.3297575574763,0.268000691226259,-4.89660699048979
"Q60847",-2.4924308932974,0.0377054055354214,0.99997988173566,0,32.3862858619564,-3.08758349718938,-3.90735983690897
"P07901",1.62353781343302,0.0459378283408207,0.99997988173566,0,35.174597145547,2.8847755252864,-3.95765511949308
"Q7TPR4",0.199161733514409,0.797110359519242,0.99997988173566,0,34.3829267840855,0.275140516949472,-4.89548219921224
"P08113",0.239571648662725,0.710955833079525,0.99997988173566,0,35.0896585123144,0.39860492718164,-4.87175067828173
"Q3UQ28",-0.124689008429324,0.876869380640145,0.99997988173566,0,33.5906972023361,-0.165324478928825,-4.90963261630056
"P20029",0.482889296897513,0.443600878662345,0.99997988173566,0,35.8696815686222,0.851129271042869,-4.7281756127521
"P20152",-0.112372524114818,0.848837124006147,0.99997988173566,0,36.3683817566467,-0.203555890629227,-4.90547964435143
"P11276",0.174800320299188,0.921054497849365,0.99997988173566,0,32.1887123390296,0.105642359097014,-4.91442286423496
"O88207",0.990202700525792,0.277185446409843,0.99997988173566,0,32.6084760833263,1.26101327560186,-4.55468683837782
"P11499",-0.142841718011503,0.814942334709293,0.99997988173566,0,35.5328740613408,-0.250288603028063,-4.89927631364433
"A2ARV4",0.809227462049799,0.399434086068645,0.99997988173566,0,29.6306280539064,0.944535842245014,-4.69072831667938
"Q68FD5",0.0160229373309496,0.978331256370006,0.99997988173566,0,31.74136848219,0.0289339847558588,-4.91749642477753
"Q9JKR6",0.695133036454746,0.469353476044606,0.99997988173566,0,31.7624592019453,0.800123247696242,-4.74779053442872
"P26041",0.171249446064252,0.793048043941344,0.99997988173566,0,34.6944611564353,0.280830776072807,-4.89456583049099
"P70398",0.848438677372372,0.40618647317209,0.99997988173566,0,28.2235643730865,0.929712607570712,-4.69678818119008
"P58252",0.0506966401199094,0.931839270402584,0.99997988173566,0,34.4796289392173,0.0911563028796066,-4.91527042660796
"Q61147",0.205528538596056,0.912893035806442,0.99997988173566,0,34.9807037363461,0.116623067863049,-4.9136980020171
"Q6ZQ38",0.560028076471861,0.464071297813618,0.99997988173566,0,32.4283953102579,0.810400467240819,-4.7438912383578
"P63017",0.223708563271785,0.703429024595665,0.99997988173566,0,35.6043866976698,0.409715427877451,-4.86923292036881
"Q64514",0.591835043376929,0.462379255214055,0.99997988173566,0,31.2081827918203,0.813712088605137,-4.74262891319264
"P27546",0.423142832845563,0.559034398683347,0.99997988173566,0,31.3608151382502,0.63770527253862,-4.80526495382351
"Q9WTQ5",0.346089820896657,0.687565725570547,0.99997988173566,0,31.9081944764464,0.433334786890215,-4.86368074441649
"P27773",0.242168141749725,0.67485289814545,0.99997988173566,0,36.3003411158017,0.452473897382637,-4.85898606008492
"P58771",0.434431242830409,0.479937947102309,0.99997988173566,0,34.070147486184,0.779799277201195,-4.75541861079166
"P09103",0.226215995148943,0.697403627433488,0.99997988173566,0,35.7435539331829,0.418653671534673,-4.86716356224441
"P52480",0.0713443534718035,0.919933387043413,0.99997988173566,0,35.2031982621895,0.107149758400762,-4.91432755922859
"Q8K411",0.899460433384817,0.354381883227855,0.99997988173566,0,30.1898515806531,1.04939026412278,-4.64683516416349
"Q6IRU2",0.0716315526892971,0.91769449022112,0.99997988173566,0,33.2789809400576,0.11016100313965,-4.91413316787544
"Q91V92",-0.106846570187417,0.864822679892004,0.99997988173566,0,32.2533777974566,-0.181713317877611,-4.90795503425515
"Q8BKC5",0.456334414684854,0.448820347030715,0.99997988173566,0,32.2263597829988,0.840603498307996,-4.73227599988254
"P17156",-0.0162558654739829,0.990172298243124,0.99997988173566,0,30.7931597440721,-0.0131209738637063,-4.9176948467029
"Q11011",0.154330114464832,0.796219592185126,0.99997988173566,0,32.8914600507712,0.276387306494793,-4.89528292445683
"E9Q557",1.40763623415852,0.202418009738913,0.99997988173566,0,27.4395578378682,1.5292520058832,-4.43659085627008
"Q6P5F9",-0.0538320980876974,0.94465463911078,0.99997988173566,0,31.4341795268322,-0.0739735486708265,-4.91611492268887
"Q9EPL2",0.297523252828984,0.640055479995791,0.99997988173566,0,32.0250100238773,0.505919386809698,-4.84498062403446
"Q921I1",0.329396192605164,0.621623806521009,0.99997988173566,0,33.3941072624883,0.534923489893249,-4.83684955934086
"Q02819",0.172341039959214,0.76962811096582,0.99997988173566,0,34.2001637473834,0.313862971180941,-4.88890051585486
"Q91ZX7",0.787273155884708,0.246702648649025,0.99997988173566,0,29.0800266666767,1.36048244855183,-4.51072808216813
"P06801",-0.123924130112035,0.835891239193327,0.99997988173566,0,35.4319460467135,-0.22133332006926,-4.90326460092895
"P09470",0.327578070983561,0.579680660166213,0.99997988173566,0,32.7113844017948,0.602998697020189,-4.81639140953095
"Q80YX1",0.2063875401628,0.875712880817983,0.99997988173566,0,30.7361650396648,0.166895344632253,-4.90947853242536
"P13020",0.446721507963045,0.474629350439105,0.99997988173566,0,33.5381126935946,0.789948514576496,-4.75162336288082
"Q8VHY0",1.57951937673622,0.0588756988056886,0.99997988173566,0,29.1894776906049,2.63935593278396,-4.02557455244063
"P26039",1.00539791856244,0.148425242837632,0.99997988173566,0,28.1141680498872,1.79608889660598,-4.32344823201993
"Q02053",0.574733356871029,0.370120828744624,0.99997988173566,0,31.7049876633641,1.01149627405081,-4.66288680476279
"Q8BHN3",0.373077606930993,0.597531843615184,0.99997988173566,0,32.7074377971065,0.573650313040469,-4.82544021204281
"Q61598",0.525461080622418,0.3906529773197,0.99997988173566,0,34.142791477198,0.964135941639781,-4.6826550574473
"P48722",0.503239599603175,0.729048423442852,0.99997988173566,0,29.6697502587381,0.37213553545408,-4.87750181529609
"O88844",0.330526340348425,0.587947866560854,0.99997988173566,0,34.4667225078329,0.589334201710843,-4.82064654133508
"P35441",-0.165102512525417,0.918611029918684,0.99997988173566,0,33.3131223685682,-0.10892813731429,-4.9142134010403
"Q61292",0.292678571224435,0.68266216889071,0.99997988173566,0,30.4616429624123,0.44069414781639,-4.86189605066352
