log_10_fold_change,log_2_fold_change,UniProt_Accession,Gene,Protein_Description,UniProt_ID,Alternate_Names,Mouse_Gene_ID,Cellular_Location,Functional_Class,Vehicle_Rep1_31579,Vehicle_Rep2_31581,Vehicle_Mean,Vehicle_SD,Vehicle_SD_Percent,Testosterone_Rep1_31578,Testosterone_Rep2_31580,Testosterone_Mean,Testosterone_SD,Testosterone_SD_Percent,Fold_Change,UniProt_Valid,UniProt_Standard_Format,UniProt_Extended_Format,Replicate_Completeness,FC_Type,Confidence_Level
0.001,-9.965784284662089,P01132,EGF,epidermal growth factor,EGF,"0610011K11Rik, Fbln4, MBP1",MGI:96052,Extracellular Space,growth factor,87500000.0,5212300.0,46356150.0,58186190.67824427,125.51989472431224,0.0,0.0,0.0,0.0,,0.0,True,True,True,Missing_2+,Complete_Suppression,Low
0.001,-9.965784284662089,Q61521,EREG,epiregulin,EREG,AI790464,MGI:108086,Extracellular Space,growth factor,21778000.0,34134000.0,27956000.0,8737011.388340982,31.2527235238982,0.0,0.0,0.0,0.0,,0.0,True,True,True,Missing_2+,Complete_Suppression,Low
0.001,-9.965784284662089,P22005,PENK,proenkephalin,PENK,"AI326464, ENK, PPA, Penk1",MGI:103292,Extracellular Space,other,1972600.0,23627000.0,12799800.0,15311973.082525974,119.62665887377908,0.0,0.0,0.0,0.0,,0.0,True,True,True,Missing_2+,Complete_Suppression,Low
0.0698788656853663,-3.839,P12850,CXCL2,C-X-C motif chemokine ligand 2,CXCL2,CysC,MGI:95713,Extracellular Space,cytokine,0.0,44021000.0,22010500.0,31127547.614613008,,0.0,0.0,0.0,0.0,,0.0,True,True,True,Missing_2+,Complete_Suppression,Low
0.1378336453836141,-2.859,Q03366,CCL7,chemokine (C-C motif) ligand 7,CCL7,"AI323594, HC11, JE, MCAF, MCP-1",MGI:1355321,Extracellular Space,cytokine,47992000.0,166620000.0,107306000.0,83882663.23859777,78.17145661808078,27796000.0,1783800.0,14789900.0,18393403.01358071,124.36462054226676,0.1378291987400518,True,True,True,Complete,Normal,High
0.3228643375755837,-1.631,P17125,TGFB3,transforming growth factor beta 3,TGFB3,"TGF-beta-3, Tgfb-3",,Extracellular Space,growth factor,54831000.0,56247000.0,55539000.0,1001263.2021601512,1.8028110015667391,26257000.0,9599600.0,17928300.0,11778560.496936796,65.6981448153857,0.3228055960676281,True,True,True,Complete,Normal,High
0.3639973872497716,-1.458,Q9Z0J7,GDF15,growth differentiation factor 15,GDF15,Gas-6,MGI:96705,Extracellular Space,growth factor,25757000.0,852050000.0,438903500.0,584277383.5469759,133.12206066868364,9920500.0,309610000.0,159765250.0,211912477.70040584,132.63990617509492,0.3640099703009887,True,False,True,Complete,Normal,High
0.3670376590085258,-1.446,Q9DAI2,IFT22,intraflagellar transport 22,IFT22,"2900042B11Rik, IFT25, PP25",MGI:97180,Extracellular Space,other,37325000.0,59368000.0,48346500.0,15586754.777695067,32.239675628422056,11954000.0,23547000.0,17750500.0,8197488.914295645,46.18173524292637,0.3671517069487967,True,False,True,Complete,Normal,High
0.3770950191716447,-1.407,P04202,TGFB1,transforming growth factor beta 1,TGFB1,"TGF-beta1, TGFbeta1, Tgfb, Tgfb-1",,Extracellular Space,growth factor,156460000.0,111500000.0,133980000.0,31791520.882147174,23.728557159387357,68394000.0,32641000.0,50517500.0,25281188.747762635,50.04441777158932,0.3770525451559934,True,True,True,Complete,Normal,High
0.1958742967373352,-2.352,P10148,CCL2,chemokine (C-C motif) ligand 2,CCL2,AI848962,MGI:1202065,Extracellular Space,cytokine,1825300000.0,1647300000.0,1736300000.0,125865007.05120546,7.249035711064071,525700000.0,871220000.0,698460000.0,244319535.0355759,34.97974616092201,0.4022691931117894,True,True,True,Complete,Normal,High
